review_user,review_rate,review_time,review_text
Farena Haris,3 stars,14 hours ago,N/A
Glenn Gruta,5 stars,15 hours ago,N/A
ceen,4 stars,a day ago,N/A
Allain Jing World Travel,5 stars,a day ago,"Behold the grandeur of the Temple of Leah in Cebu! This majestic structure stands as a tribute to undying love and devotion. Inspired by ancient Roman architecture, the temple offers breathtaking panoramic views of the city and the …"
ChupaChups Mondragon,5 stars,2 days ago,N/A
이강현,4 stars,2 days ago,N/A
HyoSik Wee,2 stars,2 days ago,You may not know if you hear it on the  …
Addy Light,5 stars,2 days ago,Temple of Leah is nice but can be done in a few minutes. Should also take a look at some other attractions up there when you already ride all the way up. We took a walk to Little Kyoto from there which took quite some time but was an …
Carlos Jones,5 stars,3 days ago,Ok sightseeing. No complaints.
배승수,3 stars,3 days ago,N/A
Anthony Sky,3 stars,3 days ago,Crowded
Jenelyn Rosales,4 stars,3 days ago,N/A
Clemen Alvin Bayaca,5 stars,4 days ago,N/A
Jonathan Espeña,4 stars,4 days ago,N/A
Renzi Colilihan,4 stars,4 days ago,N/A
Stephen Lopez,4 stars,4 days ago,N/A
최희선,3 stars,5 days ago,"It is a viewpoint that many locals come to.
I like to …"
Reshia Mae Gonzaga,5 stars,5 days ago,Good
Leavel Nelson,5 stars,5 days ago,N/A
Dave Ralston,5 stars,5 days ago,This was a cool spot to visit. We saw it on a super hot day and didn’t spend much time here. But if your in the neighborhood stop on in for some wonderful views of the city and around this temple. …
Adrian Dziaduszek,5 stars,5 days ago,"Athenas inspired temple in the tropical forest. That is something you dont see everyday. Funded by man to glorify his wife who was an explorer.
It makes a stunning impression. If You like this kind of architecture it is a place to see. Entrance fee is 150php per person on weekend."
Ann,5 stars,5 days ago,Satisfied
Michael Edwards,2 stars,5 days ago,N/A
Guia Calamba,4 stars,5 days ago,N/A
黒木義和,3 stars,6 days ago,vacation🛕 …
Patrick Jhon Bustamante,5 stars,6 days ago,What a great experience. You should try this place too.😍😍 …
Erica Tabuena,4 stars,6 days ago,N/A
SangKeun Lee,3 stars,6 days ago,It's nice to be able to …
nishan philippon,4 stars,6 days ago,"Nice place，but it's under reconstruction after last year's severe natural disasters. So, impossible to enter the building to admire the different collections, just take around of the outside."
Jürgen Tomaschewski,5 stars,6 days ago,Beautiful temple with impressive views of Cebu City and the surrounding area.
Jelou Sotto,5 stars,6 days ago,N/A
Sanil Kumar Parammal,5 stars,6 days ago,N/A
Bobby,1 star,6 days ago,N/A
정우정,4 stars,a week ago,N/A
Andrew Fitzgerald,5 stars,a week ago,Amazing monument to a man's wife.
MikzTV,5 stars,a week ago,N/A
Prince_B612 Little,4 stars,a week ago,Temple of Leah in C …
Loreto Mari Damian (ᜊ᜔ᜆᜓᜄᜈ᜔),5 stars,a week ago,N/A
Solongo Batbold,5 stars,a week ago,N/A
Justin Patrick Mendoza,5 stars,a week ago,Wonderful view of Cebu city. Beautiful scenery and temple
Gennel Padaon,5 stars,a week ago,N/A
BlackJack Forever,5 stars,a week ago,N/A
Shepard Ectin,5 stars,a week ago,Yay. Nice.
Joy Rosal,5 stars,a week ago,N/A
Amar Quintana,2 stars,a week ago,N/A
jasper calunod,5 stars,a week ago,N/A
milind dnyate,5 stars,a week ago,Awesome Greek architecture
galaxy,4 stars,a week ago,N/A
Arjhei Bontog,5 stars,a week ago,Nice view.
Casandra Verbraecken,5 stars,a week ago,"Very nice place, I would love to come back soon."
Natalie Marie Deslate,5 stars,a week ago,"Visited last August 12
Booked City Tour c/o Viper Car Rental +639157284249 …"
SCRFilms,5 stars,a week ago,N/A
Marco Gerninghaus,5 stars,a week ago,N/A
Richiel Bernad,5 stars,a week ago,N/A
Luca Dal Pero,3 stars,a week ago,Not so interesting
King Lakwatsera,4 stars,a week ago,"Well definitely worth to visit. Its incredible the views of building is breathtaking, and of course you can see the city view of cebu with beautiful landscape. There are many tourist coming even its weekdays. I noticed some are waiting …"
Karl Imanoel Aoanan,5 stars,a week ago,N/A
Raphael Sevilla,4 stars,a week ago,"Pretty good place to go for pictures, both inside and outside. There was still some construction being done while we were there. Great view of the surrounding towns underneath. The pricing is okay, I think it would be very nice if there was …"
BA 001,5 stars,a week ago,Stunning - MUST SEE
Jowe Daloma,5 stars,a week ago,"Great place, epic"
Scott Marie,2 stars,a week ago,N/A
구츠비,5 stars,a week ago,N/A
Airah Dana Froilan,5 stars,a week ago,"There so many tourists at the time, while waiting in our car to get in the property our driver had given us a fact: everyday there is a min of 1K tourist who visit Temple of Leah and the entrance fee is 120 (weekdays) and 150 (weekend), he …"
율령TV,3 stars,a week ago,N/A
J T,1 star,a week ago,Two words: tacky and unnecessary.
Arnel Lester Buquis,1 star,a week ago,"Nothing to see, inside, just city view with entrance pay per person better the yamashiro restaurant with a better city view and free entrance."
Vencelour Gesta,4 stars,a week ago,The place was okay.
Damian Pokoj (Louis Cyphere),1 star,a week ago,"Memorial to the wife of a wealthy businessman.
The entrance fee is pretty steep and covers only visiting of the outside of the mausoleum. …"
Cato Limås,5 stars,a week ago,Really nice view from this hilltop. A great view over the whole of Cebu i would think. Also a nice building.
Justin Van Haght,3 stars,a week ago,"What an interesting place to visit, with an interesting story. However it seemed to be going through a bit of a make over with much of the place closed off. I got the impression the makeover is a long term thing with little work being done."
patrick Alcantara,3 stars,a week ago,N/A
james dark,3 stars,2 weeks ago,N/A
Alexander Mongcal,5 stars,2 weeks ago,Must see when you visit Cebu 🙂 …
Daisy Li,2 stars,2 weeks ago,"Queuing up to enter the parking square, parking costs 50 peso, and the entrance fee is 15 …"
Marc Zwillinger,4 stars,2 weeks ago,"Nice to look at, good pics and great view of the city and mactan"
Jonathan Andrie Fabi,4 stars,2 weeks ago,It's a beautiful tourist attraction but going there via taxi is a bit expensive and the place also has an entrance fee.
Stephen,3 stars,2 weeks ago,"Seems to be in a permanent state of destruction. Nothing to see but the entry area and the parking area full of tour vans. No interior areas available to see, and construction on the road in as well. Why the fee when it's not ready to view? …"
Earl Darren Dela-on,5 stars,2 weeks ago,N/A
Teo Chloe,1 star,2 weeks ago,There's nothing interesting to view other than the natural scenery and the goddess. Felt very cliche when there's only the surface surrounding. No additional doors or levels to explore too. You aren't missing anything out if you exclude this in your itinerary. Fees are chargeable too.
Leomevel Velasco,3 stars,2 weeks ago,N/A
Winz,3 stars,2 weeks ago,Very hot and windy up there. It's okay but the temperature is different
Virginia James,4 stars,2 weeks ago,"There were too many people around during my visit. Maybe it's nice to visit during the night to see the view of Cebu City, as well."
Tsai奕箕,3 stars,2 weeks ago,"There is no special place, just a  …"
Candy Garciano,5 stars,2 weeks ago,N/A
Edward Felix (Eddie Felix),1 star,2 weeks ago,Getting to this temple was not too bad and very little traffic in the afternoon. A little over PH500 for four of us entrance fee. I was very disappointed to see that they let this place go without being taken care of. The lions and and …
Anne Nicole Cahilig,2 stars,2 weeks ago,N/A
미야,3 stars,2 weeks ago,N/A
Kreyl Cloud,5 stars,2 weeks ago,N/A
Lebe grenzenlos,4 stars,2 weeks ago,Nice tempel and view to Cebu
MukhammadYunus L,5 stars,2 weeks ago,N/A
