review_user,review_rate,review_time,review_text
Stephanie Rebaca,5 stars,a month ago,N/A
Elie Gaspe,5 stars,2 months ago,The place is amazingly beautiful. Very solemn.
Lib Car,5 stars,8 months ago,N/A
Jem Rayan Zoleta,5 stars,11 months ago,"HE is watching over us, and we are always in HER heart..."
Eriez Jann B. Etulle,5 stars,a year ago,N/A
Alven Encluna,5 stars,a year ago,Great for pilgrim
한Charliezhexi,4 stars,a year ago,"It's quiet and has a nice view. However, it's not enough to go looking for it.. It's adjacen …"
cristina arcillas,5 stars,2 years ago,A place of solitude and solemnity
RICHVERL Vlog,5 stars,2 years ago,N/A
Avelino Jr. Cena,4 stars,2 years ago,N/A
Roland Miaga,4 stars,2 years ago,"visited the shrine Nov.2020  and it is already open for public  who wishes to attend the holly mass,  meditation  and  adoration prayer …"
Joy Andulana - Carilimdiliman,5 stars,2 years ago,Such a quiet place. Really good for meditation and the view is indeed lovely. 😍 …
Keith Daniel Salado,5 stars,3 years ago,"I went there for a several times, and it is still nice and very quiet. Also we can go there if there is a mass."
shusei kokugo,5 stars,3 years ago,"In short, the scenery is beautiful.
If you c …"
Lot Quibranza,4 stars,4 years ago,"Serene, conducive for prayers and meditations. Clean. This is where the ""dancing sun"" of Cebu started the last century."
SSiimmoonn LLiimm,5 stars,4 years ago,N/A
Stella Mariz Abayhon,5 stars,4 years ago,N/A
Labin Alma,5 stars,4 years ago,It is great for meditation
Eunice Truya,5 stars,4 years ago,N/A
Kenneth “Kuya Ken” Rivera,5 stars,4 years ago,Msgr. Binghay was assigned and residing here since 2008 . . . and I'd been here from time to time . . . serving in this shrine as Msgr. Binghay's personal lay master of ceremonies . . .
Sheils,5 stars,5 years ago,"This is the place where you can run when you have problems.There were many times that I just cry because I can feel the presence of God and Mother Mary specially after every confession, I can smell rose fragrance while walking towards the …"
Reygeline ALO,3 stars,5 years ago,N/A
Lucille Fernandez,4 stars,5 years ago,"Picturesque place overlooking the sea, must-see place for family and church tours"
Willy Yoldan,3 stars,5 years ago,Great
Netsel Oberes,1 star,5 years ago,N/A
Kristel Jhane Palingkod,5 stars,5 years ago,N/A
H Yan,5 stars,5 years ago,N/A
Francis Jp Morgan,5 stars,5 years ago,The Catholic Faith
leandro moninio,5 stars,5 years ago,N/A
Rome Nicolas,4 stars,5 years ago,A good place of meditation.
Ra Macapil,3 stars,5 years ago,N/A
ritch e,5 stars,5 years ago,N/A
JVC Inso,5 stars,5 years ago,N/A
Jeanie Rosel,5 stars,5 years ago,N/A
Rexson Dangase,5 stars,5 years ago,Solemn quite place
Pscias Laborte,5 stars,5 years ago,N/A
Vincent Gu,4 stars,5 years ago,"This is really a place of meditation , I like thier prayer room very much cause it make me feel God's presence, a perfect place for recollection fresh air nice view of the horizon."
Jestoni Macapas,5 stars,6 years ago,Beautiful scenery
Kleinberg Fletcher Tabel,4 stars,6 years ago,"The great thing about this shrine is that it is located atop a hill facing the sea. Visitors would truly appreciate the cool sea breeze, specially during hot days. Furthermore, the church located inside the shrine has a lot of birds. I find …"
Maico Nagubul,1 star,6 years ago,N/A
Ronie Pedrano,5 stars,7 years ago,Its nice place peacefull
Joel Montero,5 stars,7 years ago,Conducive place to worship.
Sojocu Gaming,5 stars,7 years ago,N/A
Jan Cristen Butron,5 stars,7 years ago,Great place of worship and stress reliever.
Rodolf vincent Amor,5 stars,7 years ago,N/A
