review_user,review_rate,review_time,review_text
"Gumera, Regine G.",5 stars,a week ago,We called it as Mini Boracay Island 🏝️ …
Anton Yap,3 stars,3 weeks ago,Toilets need proper maintenance. Beach is A OK
Lyn Ramirez,5 stars,3 weeks ago,N/A
Jhon Stephen Rebusa,5 stars,a month ago,"This beach is always my favorite in this part of Cebu. It's conveniently located right down from the bus stop, and you can quickly reach the beautiful white sand beach by taking a steep path. Although the beach here is clear and clean, it …"
Richard Ansay,5 stars,a month ago,"A Nice beach , should be early  in the morning to avoid lots of people in the area. Tends  to be crowded when it already  noon ."
gibby,5 stars,2 months ago,Always my favorite beach in this part of Cebu. Just right down the bus stop. A quick steep way down and your on a beautiful white sand beach. Go on a weekday to avoid the weekend crowd. Enjoy the fine sand and let your worries taken away by …
ronalyn redemio,5 stars,3 months ago,N/A
Annabelle Bacus,2 stars,3 months ago,"It's such a nice place but what they sell is super expensive x10 expensive 👎 and their toilet is also very expensive and the fee is high 🥺👎 it's like a balloon that we inflate because it's my son's birthday this time. One balloon, huh,  …"
Max A,3 stars,3 months ago,"The beach here is clear and clean. There is no wide sand, a bit rocky but totally to chill with your family.
The entrance fee is 50 pesos per head. …"
Herman Lucero,1 star,3 months ago,"the table is very expensive..500 each...there is a limit of 5 people in one..so if you have a lot, you will pay a lot …"
Clayton Schweb,3 stars,3 months ago,"Beach was okay, windy and quite. A little too much garbage and needs to be cleaned up but good sand and place to swim"
David kowal,3 stars,4 months ago,"Recently visited this sort of private beach since, it incurs a fee to use the facilities. Quite a wide beach area although not much beach leading to the sea. I have no idea about the tide but, at 11 am and, 5pm tide was the same. Plenty …"
March Sonntag,5 stars,4 months ago,As always beautiful and clean white beach
Brenda Vanguardia,5 stars,5 months ago,Nice
Godscinth Nathan Verame,3 stars,5 months ago,N/A
Lightning Ridge,5 stars,6 months ago,clean
Saint Ericson Makiling,5 stars,6 months ago,"I was surprised, honestly. Wasn't expecting it's beauty."
Rizalino Tunacao,4 stars,6 months ago,N/A
Jelle Korthuis,4 stars,7 months ago,"Small, but that's o …"
Rafael Ty,4 stars,7 months ago,It's a nice place even though it's small and the sands are clean and there aren't many  …
James Carlo Cañete,5 stars,8 months ago,N/A
Marcel Roháč,4 stars,8 months ago,N/A
Ruthie Victoria,5 stars,9 months ago,N/A
MASTER MM,4 stars,9 months ago,N/A
wewcarl com,5 stars,9 months ago,N/A
Elizabeth Winterfeld,5 stars,9 months ago,"Nice, relaxing, clean and a proper white sand beach."
Niño Aiko Limbaga,5 stars,10 months ago,N/A
Pet Paxo,5 stars,11 months ago,I like it very much
Ernel Fontanilla,5 stars,11 months ago,N/A
Earls Mack,1 star,11 months ago,when you going to cr its so expensive.. then the parking fee is 150pesos what the heck.... haha
Marcelo Gabiana,4 stars,11 months ago,N/A
Jin Corowan,3 stars,11 months ago,N/A
Glenna Tenefrancia,5 stars,a year ago,Love to unwind here always...white sand and clear sea water😍😍 …
Beto Sousa,3 stars,a year ago,"Entrance i think it was 20pesos each. Amazing water, but the beach like almost all of them its a trend with dogs making poopoo on sand, plastics on sand and water, people still not understand the real extension of the plastic and animals …"
Kyriel,3 stars,a year ago,The beach was good but the expenses were too expensive.
Emilyn Aleguen,5 stars,a year ago,N/A
Jade Mariane,1 star,a year ago,N/A
Mary Ley-an Alferez,5 stars,a year ago,N/A
Blandie Tan Antigua-Magno,1 star,a year ago,"The beach is nice but the cottages and the accomodations is not good.
Even using the CR/Toilet, and taking a shower after the beach has a fee."
Michael Dollison,2 stars,a year ago,Lack of parking space. The trash bins are minimal. Toilets and shower rooms are dirty and not hygienic.
girlee sagang,4 stars,a year ago,N/A
Teaching Technology,4 stars,a year ago,N/A
Stephan Minty,4 stars,a year ago,Blissful place...really worth the visit!
Allyson Alolor,2 stars,a year ago,N/A
Eden Halasan,5 stars,a year ago,N/A
Karyang “karya”,4 stars,a year ago,"As always, the sea in Tingko is nice and shady because there are trees which is my favorite part of their beach. We stayed at 1st Tingko beach (not sure if it's 1st as long as going to south is the first) Then the parking fee is P100 pesos …"
Francois Stoks,5 stars,a year ago,"Nice beach, ,not too crowded"
Jim Cristobal,5 stars,a year ago,nice place to chill
Ayeen Dela Cerna,5 stars,a year ago,N/A
Alex Diaz,5 stars,a year ago,N/A
Senyorita De Momo Vlog,5 stars,a year ago,N/A
Keith Daniel Salado,5 stars,a year ago,"This was last January 2021, because we are going to relax and stay at this beach. Well, it was fun though and was so crowdy. But, there was a turboprop plane that's closer to the water or the shore and we were jumpscared but it's fun still."
CHRISTIAN MALATE,3 stars,2 years ago,N/A
