review_user,review_rate,review_time,review_text
Daryll Gonzales,5 stars,3 days ago,N/A
L. Chen,5 stars,6 days ago,Cebu is a very tall scenic sp …
GM IRLANDEZ,4 stars,a week ago,it has stunning view of the cebu city.
星川正康,4 stars,a week ago,N/A
beth anne brua,5 stars,3 weeks ago,N/A
Byungki OH,5 stars,a month ago,Beautiful view of Cebu City
duke “yoshi” lenshow,4 stars,a month ago,Standard …
Sheilamae Caramihan,5 stars,a month ago,N/A
Vivian McAllister,4 stars,a month ago,N/A
Asok,3 stars,2 months ago,"Visited on 6/12, i …"
MYRNA LABRADOR,5 stars,2 months ago,Sirao Garden beautiful place to visit when in Cebu
Leah Demecillo,5 stars,2 months ago,N/A
Fran Cis,5 stars,2 months ago,N/A
가야두한이,3 stars,2 months ago,N/A
J. Whiteoak,5 stars,2 months ago,"On a very hot Cebu Summer's day, there's nothing quite like an icy-cold San Miguel to go with the incredible view at The Tops!  I don't usually enjoy beer - but San Miguel is a pretty good brew by any standards - and I have to say that …"
김형석,1 star,2 months ago,Und …
진상신,4 stars,2 months ago,N/A
Ryan Romero,5 stars,3 months ago,Currently closed for renovation.
Dee Jade,5 stars,3 months ago,"Well day spent going here.
Remember to pay for the entrance and bring camera with you."
조윤석,2 stars,3 months ago,I couldn't enter because it was under construction above. There was nothing besides the restaurant next t …
Bebie Cuestas,4 stars,3 months ago,Ahare insackt location
hgen hara,4 stars,3 months ago,"To get to this place, you have to go through a steep uphill road. If you arrive early in the morning, the gate will not be open, so it is best to arrive after 11:00 a.m. back of the road"
Zerahny Chew,2 stars,3 months ago,Not open as of 29th April 2023
Allan Paul Deada,4 stars,4 months ago,Great view of teh city
수호신,2 stars,4 months ago,"Before visiting, be sure to check the available menus among th …"
The Rich House,5 stars,5 months ago,N/A
Jo Anne Miraflor,1 star,6 months ago,Tops was still under construction and was closed. Tops restaurant was open.
keni keni,2 stars,6 months ago,I'm sorry. wa …
Max A,3 stars,6 months ago,"Under renovation, but there is one restaurant where you can go and eat while enjoying the view. You don't have to pay for the entrance if you eat at the restaurant and show a receipt when you exit. If you can't show any receipt you have to pay for a parking fee of 50 pesos."
Donggeon Lee,5 stars,6 months ago,N/A
Asad Islam,3 stars,6 months ago,Closed for renovation. Have to use the restaurant to see the views. Avoid until renovation is complete.
Jacob Teves,5 stars,7 months ago,Beautiful and breathtaking views
Myline Domalaon,5 stars,7 months ago,"Tops Cebu...The only thing going there this time is to pay parking fee. Before there was no stablishment ,everything is free to gasp fresh air in this place."
Leza Andrea,3 stars,7 months ago,"Tops lookout (under renovation since Oct 21, 2022) 🌃 not a good place to visit on a weekend, people were annoyingly loud (chika, inom, with bluetooth speaker blasting party music) 🥴 should’ve went here during sunrise 🥲 …"
ECP Roth,5 stars,7 months ago,N/A
Jef Celie,3 stars,7 months ago,Was closed for renovation
Who am i !,5 stars,7 months ago,My favourite picture of cebu
이용재,5 stars,7 months ago,"Internal repairs are underway.
It i …"
guru prasad,5 stars,8 months ago,Worth for a night view
Charles Ausejo,5 stars,8 months ago,Great place to see the view of Cebu City from the top.
Arenen,4 stars,8 months ago,"A place you should visit at least once in Cebu
I don't thi …"
김역수,5 stars,8 months ago,The observatory was  …
Ned Cuartel,5 stars,8 months ago,N/A
비에이 (마이),5 stars,8 months ago,It is currently under construc …
Ravi ghusiya,5 stars,9 months ago,tab jana jab fog na ho to apko acha dekhay dega cebu ka nazara
Don Onde,5 stars,9 months ago,it's a shame the place has to close. I loved coming here when visiting Cebu City. It has a great view of Cebu and the city lights at night.
Carein Tocmo,3 stars,9 months ago,N/A
Venusius,4 stars,9 months ago,Not much else to say about this place. It's literally a place at the top of the mountain that gives a good view of the city.
Simon Lanthier,5 stars,9 months ago,Delicious restAurant and generous portion
wewcarl com,5 stars,9 months ago,N/A
Joshua Condeza,4 stars,9 months ago,N/A
Dennis Silvestre,5 stars,10 months ago,Great location to unwind and relax.
Marx Pacquiao PH,5 stars,10 months ago,The view of the city lights is beautiful! Cebu Tops is an amazing place to unwind. Just don't forget to bring your jacket with you during night time.
Arantxa Steffi May Del Mundo,4 stars,10 months ago,N/A
World Trip,5 stars,10 months ago,N/A
Gabriel Feuga,5 stars,10 months ago,N/A
Dohn hero Abad,5 stars,10 months ago,N/A
Lynette Torralba,5 stars,10 months ago,"Nice ambience overlooking places. Nice place to go with ur family, can bring foods too."
Airam Sarabia,5 stars,10 months ago,N/A
Edarlie Ken Abarquez,5 stars,10 months ago,"The outstanding view at night will give u refreshing feeling. However, you have to bring a jacket! A cold mountain breeze will hug you tightly."
Sol B,4 stars,10 months ago,Nice view of the City.
Aireen Grace,5 stars,10 months ago,N/A
