review_user,review_rate,review_time,review_text
kiki chen,5 stars,a day ago,Tumalog Waterfalls is about a 10-minute drive from the whale shark watching spot. You can tak …
alison virtucio,5 stars,a day ago,N/A
Kristina Mondares,5 stars,a day ago,Very amazing place.!!
건축사서영호,5 stars,2 days ago,This is a very uniq …
Danilo Olanosa,3 stars,3 days ago,"The waterfall is majestic to say the least. It lands in a shallow pool of milky, cool water.  Definitely an Instagrammable place.
It's definitely commercialized to take advantage of the tourists. It's a pretty …"
이그림,5 stars,3 days ago,"I went to Oslob by motorcycle while waiting. It is located higher than I thought, and I had to change to a new motorcycle to enter T …"
HyoSik Wee,5 stars,3 days ago,N/A
LEE Caesar,5 stars,4 days ago,N/A
-Zeki-,5 stars,4 days ago,"Second time going here, just as beautiful as the first! This time though, they had staff available to take photos and videos near the falls! They don't ask for a set amount of money to do so, only what you feel comfortable giving. They do a …"
문현규,4 stars,4 days ago,N/A
김주원,3 stars,5 days ago,N/A
J. van Gaal,5 stars,6 days ago,"Beauty place to go, make nice pics and swim. I think I have seen close to 30 waterfalls in my life and this one is definitely one of the most beautiful ones. …"
j maine,5 stars,a week ago,TUMALOG FALLS is very magical.
卓妤芸,5 stars,a week ago,Beautiful water！
Sol Tan,5 stars,a week ago,N/A
olens,5 stars,a week ago,N/A
antonio desiderio,2 stars,a week ago,simple waterfalls not deep but pleasant
율령TV,5 stars,a week ago,N/A
andrea tosoni,3 stars,a week ago,N/A
John Rey Bilnas,5 stars,a week ago,N/A
Sandy Singh,5 stars,a week ago,The waterfalls are fantastic.  There is a fleet of motorcycles that takes visitors to the waterfalls.  After that it is a short walk to the cascades.
Brandon Hedrick,5 stars,a week ago,N/A
이현재,5 stars,a week ago,N/A
みつみつ1116,4 stars,2 weeks ago,"Stopped by on the way to the whale shark tour. It's about 300m down a steep slope from the entrance, but th …"
Lenka Zipp,5 stars,2 weeks ago,"Magical, only those peop …"
RAMBO “CRYPTO_BOUNTY_HUNTER”,5 stars,2 weeks ago,N/A
Virginia James,4 stars,2 weeks ago,"There's not much waterfall cascading during my visit, yet I was able to get great pictures."
김영덕,4 stars,2 weeks ago,it was one the incredible places in the life.
Elmar Vargas,5 stars,2 weeks ago,"We enjoyed our short awesome vacation. If you like to experience going downhill and uphill, just like an exercise, go to Tumalog Waterfalls. The water is so cold and refreshing."
chan koh,4 stars,2 weeks ago,N/A
미야,5 stars,2 weeks ago,N/A
hee kim,4 stars,2 weeks ago,New experience . I went right on my motorcycle. a lot of people There is a do …
김경석,5 stars,2 weeks ago,"It is a very nice waterfall

It was i …"
구현정남부교육청_진구_초읍중_,5 stars,2 weeks ago,N/A
Joan Samillano,5 stars,2 weeks ago,Such a wonderful place to relax and unwind
Moritz Chmela,5 stars,3 weeks ago,Very nice waterfall. It goes down a steep hill until you reach the waterfall. There is a driver service for that. Price including driver service and waterfall is 100 pesos. Very nice staff! The waterfall is definitely worth a visit. There are even a few monkeys to admire!
Emmanuel,5 stars,3 weeks ago,N/A
Moolenschot Stefan,5 stars,3 weeks ago,Very nice location to visit. The fall is amazing.
李庭瑋,5 stars,3 weeks ago,N/A
James M,5 stars,3 weeks ago,N/A
네지쓰,5 stars,3 weeks ago,N/A
Boy Bautista,5 stars,3 weeks ago,"Climb up high road access but well cemented road. Also, we took good motorbike rides down and back. It was a very good experience. The waterfall is beautiful, though I think touch-up was done."
Alexandru Olariu,5 stars,3 weeks ago,Amazing waterfalls! Totally worth spending a few hours here
Jenny,5 stars,3 weeks ago,If you look up from the waterfall and look up at  …
ted thor,3 stars,3 weeks ago,"Beautiful, veil-like waterfall. Unfortunately too touristy for me. 50php return motor ride into the waterfall is worth paying as the walk can be 'burdensome'."
Mark Jhon Fernandez,5 stars,3 weeks ago,N/A
jeha jung,5 stars,4 weeks ago,Go to Avatar …
Tuấn Hải Lê,4 stars,4 weeks ago,N/A
marcus hyungseok lee,5 stars,4 weeks ago,"Very beautiful, sightseeing
movie avatar motive"
Hannah Lyn Barba,5 stars,4 weeks ago,"Bawal ang private vehicle there. So, either you walk or you pay 50 pesos for habal2x to bring you there. We suggest to walk and enjoy the nature."
Louie Yan,5 stars,a month ago,"Fun Experience, entry fee is 50php and the moped ride there and back is also 50php. Huge waterfall and cold waters you can swim in."
Ryan Berico,5 stars,a month ago,Majestic indeed!
Rich Hard,5 stars,a month ago,Absolutely stunning
미녕,5 stars,a month ago,The water is very cold. It hurts if you get hit because  …
Monlong Fang,4 stars,a month ago,The scenery …
김호근,3 stars,a month ago,N/A
전소연,5 stars,a month ago,The water is cold and t …
Gabriel Moraes,5 stars,a month ago,N/A
wensong Chen,5 stars,a month ago,N/A
Nicolas Atamosa,5 stars,a month ago,N/A
