review_user,review_rate,review_time,review_text
Maureen james Bongcaras,4 stars,2 weeks ago,N/A
Estrada Twins,1 star,2 weeks ago,This place is CLOSED even tho the website says open 😒 …
Bradley Perkins,1 star,3 weeks ago,No longer exists.
michel maksev,1 star,a month ago,This place is in this location is permanently close
Markwil Bert Ramos,5 stars,a year ago,Nice
Ken Suzuki,1 star,a year ago,Closed as of Decem …
Martinez Adelynn,5 stars,a year ago,"The place there is ELITE! the serveces are very kind and are willing to help, they are very creative. The payment is totally worth it!"
Rick Davis,5 stars,2 years ago,Great experience !!! Great staff. Very nice !!
Antonio Ladiao,5 stars,2 years ago,Ujji
Aime Jean Mañorca,5 stars,2 years ago,"""OKAYYY! SAY CHEESE!"" ""SMILEEE!""
Hahaha the girl staff is really funny we can literally smile and a bit shock because of her energy. Thanks!"
Hectorch Luzon,5 stars,2 years ago,"had a blast, enjoyable and very affordable."
may ann padrones,4 stars,2 years ago,N/A
Kim Cadarit,5 stars,2 years ago,"Perfect place for those people who want to experience something new like living in an upside down world 😉
By the way, I just want to commend the staff for being so accomodating. …"
Liza Gubaton,5 stars,2 years ago,N/A
Cristyl Baronda,4 stars,2 years ago,It was a very nice experience for people who is up of having fun. You will stretch your muscles to pose nicely. 😂😂😂.  This place is good for pictorial and after that no more na. Only for pictorial. …
MKF,5 stars,3 years ago,It was so much fun! The staff will also teach you how to take pictures and guide you to each room …
Famo Rose,4 stars,3 years ago,N/A
Matt Adrian Baruc,2 stars,3 years ago,N/A
debbie cane dolotina,5 stars,3 years ago,Loved this place! It's so fun to pose around looking like upside down.. It's more fun when you're with your friends or family.. And you don't even have a problem thinking what to pose because the staffs will help you out. They will be the …
Dexter Oyao,3 stars,3 years ago,N/A
Troy Sotto,4 stars,3 years ago,"I was amazed by my captured photos, It is very unique because all things are placed upside down. For those who are fond of having funny yet mesmerizing photos, this is your chance to capture your photos, entrance fee is 300 plus."
Nathan Fawns,5 stars,3 years ago,Heaps of fun
林欣慧,5 stars,3 years ago,N/A
Mno0oR,5 stars,3 years ago,Sweet experience. . They treat nice. . A family place …
Pretsy Joy Hurano,5 stars,3 years ago,N/A
이경아,3 stars,3 years ago,Just. Places to …
Roxanne Baylon,5 stars,3 years ago,N/A
TV태풍 (태풍),3 stars,3 years ago,"This is where the little fun is.
I think it would be nice …"
Shemaiah Khristian Jimenez,5 stars,3 years ago,N/A
"Kimuel, Jr. Rallos",5 stars,3 years ago,"there are several rooms inside, there will be someone who will assist you on what pose to do. After the entire tour inside you can now then go to any room and have your pics taken"
Xiao Yan,5 stars,3 years ago,Fun and nice place
archie martinez,5 stars,3 years ago,Yeah
Dindo Huete,5 stars,3 years ago,So much fun.
Maiabelle Rasonabe II,1 star,3 years ago,N/A
Nick Jordan Beja,4 stars,3 years ago,It's a very interesting place. The guides are very accommodating and you can do whatever you want after touring the entire place with the guide. …
ASSUMPTA NWACHUKWU,5 stars,3 years ago,Me and my friends had fun
jane davis,4 stars,3 years ago,Unique place..
구대익,4 stars,3 years ago,I pose for each room and take a picture. A …
Arme Jean Divinagracia,5 stars,3 years ago,"Experience the other style of taking pictures..the staff will assest u to make ur pictures great,nice to go there with family pra bibo"
Jon Wang,5 stars,3 years ago,When I went there It did not look like an upside down world at all but then when I went inside it was upside down I recommend u coming here
Julius Aldwin Verano,4 stars,3 years ago,N/A
Prayag G S,3 stars,3 years ago,N/A
Jelian Catcharro,5 stars,3 years ago,N/A
Dilen,4 stars,3 years ago,"It's scary cheap, and they'r …"
Maia Polidario,5 stars,3 years ago,Very friendly and accommodating staff. Enjoyed the experience even if some poses suggested is a bit challenging for my height.
Luke Sisco,4 stars,3 years ago,N/A
EJ TUÑACAO,5 stars,3 years ago,N/A
Trezha Esmero,4 stars,3 years ago,N/A
Gel ay,5 stars,3 years ago,Lovely crew they will help you what will you do and give suggestions pose in a particular room ❤️💕 …
Rochie Flores,5 stars,3 years ago,N/A
Antonio Sherilou Yadao,5 stars,3 years ago,N/A
Tutuman Xtreme,4 stars,3 years ago,"The place is hidden in a small shopping center. This place allows you to take pictures of spaces that are upside down and make edits on your phone to make it look surreal. Staff are very friendly, assisted us in taking our pictures and …"
Ge No Nabos,5 stars,3 years ago,N/A
trebor casanal,5 stars,3 years ago,Nice place
Charles,5 stars,3 years ago,N/A
Joshua Miguel Pascual,5 stars,3 years ago,N/A
Darlyn Cecille Redoblado,4 stars,3 years ago,it's fun and the designs change every now and then so it's not boring year-round
Henriette Ho-Baniña (Flowerbob Channel),5 stars,3 years ago,Cute
teresita silva (thata),5 stars,3 years ago,it's crazy
Erika Olandesca,1 star,3 years ago,N/A
seon Kim (paru2x),4 stars,3 years ago,N/A
Maria Teresa,5 stars,3 years ago,It is so much fun and cheaper than the one in Manila. A staff will assist you take your group picture taken for each of 11 rooms.
Venus Cabarrubias,3 stars,3 years ago,It sounds great
spools.i (JC),5 stars,3 years ago,Great illusions! I had lots of fun with my fam and friends. The upside-down bedroom will really challenge your mind on its decors!
Ronaldo Diamante,5 stars,3 years ago,Fun and artistic.
Honey Sangco,5 stars,3 years ago,Its a happy place!
Jhonet Vista,4 stars,3 years ago,N/A
Rosalie Buico,4 stars,3 years ago,Fantastic
Neil Alilin,4 stars,3 years ago,N/A
Jeronee Samme Deloso,3 stars,3 years ago,N/A
Elmar Lumayog (Elums),5 stars,3 years ago,We're here before.
Dharnairie Bandalan,3 stars,3 years ago,N/A
falcons catch,4 stars,3 years ago,N/A
KEI JIN,2 stars,3 years ago,Not good place.. only trick photo zone
Rogelio Jr. Itang,5 stars,3 years ago,N/A
Catfish 14,5 stars,3 years ago,N/A
Jill Travenner,3 stars,3 years ago,N/A
Myla De Quiros,2 stars,3 years ago,N/A
Ara Mae Pallar,2 stars,3 years ago,👌 …
Andreas Brammer,5 stars,3 years ago,A nice and beautiful odea to show everything upside down... A greate place to take some wired pictures.
Rodani Geroy,5 stars,3 years ago,N/A
Jay Tana,4 stars,3 years ago,"The guy/gay there was rude. Otherwise, such a fun experience."
Rash “Raja” Rubis,5 stars,3 years ago,N/A
Jumari Tupan,3 stars,3 years ago,N/A
Jenny Guzman,5 stars,3 years ago,A unique place to have fun. Beautiful and amazing.😍😍 …
May Erry,5 stars,3 years ago,Kid friendly and the staff was awesome.
Randy Erickson,3 stars,3 years ago,The price for entry was too high. We just went to fill in time. They should show sample photos. The props were not all secured well so you have to be careful. Some of the props should be better anchored to allow people to hang from them for added effect.
kennah sasamoto,4 stars,3 years ago,N/A
Nicole Gwyneth Mijares,5 stars,3 years ago,N/A
Michelle Celocia,5 stars,3 years ago,very nice place
Jacky Ian Po,4 stars,3 years ago,N/A
Jocelyn Ocate,5 stars,3 years ago,N/A
Lo ve,1 star,3 years ago,N/A
ricky Dags,5 stars,3 years ago,N/A
Sherwin Guirnaldo,5 stars,3 years ago,N/A
Chips Elumba -Panlasang Lahug,4 stars,3 years ago,N/A
jonathan ramos,4 stars,3 years ago,Got it hard to find the room
Micheal Labao,5 stars,3 years ago,N/A
Mark Miranda,4 stars,3 years ago,N/A
Cherry Ann,5 stars,3 years ago,N/A
angeline,5 stars,3 years ago,N/A
Pedro Olivas,5 stars,3 years ago,Very nice place to visit on Cebu. Totally recomended
Anthony II Balasuela,5 stars,3 years ago,N/A
Ramon Tampos,3 stars,3 years ago,N/A
lord zamora,4 stars,3 years ago,N/A
Small Things Matter,4 stars,3 years ago,N/A
Jee Cioco,5 stars,3 years ago,N/A
Grace Ybanez,4 stars,3 years ago,N/A
Jl Free,3 stars,3 years ago,"Good place to have fun especially with friends but limited entertainment not really worth the price, they have friendly staff"
KENNETH SY,3 stars,3 years ago,N/A
Joel Cenas,5 stars,3 years ago,N/A
Roselyn M. Judilla,5 stars,3 years ago,N/A
lemuel dayondon,5 stars,3 years ago,It's going to be fun and you won't assist anym …
Keyshe C.,5 stars,3 years ago,"Very nice attractions, purely for picture taking"
Noemi Encienzo,5 stars,3 years ago,N/A
Kevin Chua,5 stars,3 years ago,Nice place
Conan Lee,4 stars,3 years ago,N/A
Marky Mark,2 stars,3 years ago,N/A
Josh “BuffaloManJosh” Heiser,5 stars,3 years ago,"This is a fun place to stop by and check out.
The staff will help you stand in the perfect spot to get an awesome picture."
Sindhuja Viswanathan,1 star,3 years ago,They did not take clear photo. Very shaky most. U cannot spend more than 1 hour .
Ann Margareth Largosa,5 stars,3 years ago,N/A
Ruzzette Ang,5 stars,3 years ago,One of a kind museum. The guides are friendly and accomodating.
maharlika matutinao,5 stars,3 years ago,had so much fun 🥰 …
Mohammed Alshahrani,2 stars,3 years ago,N/A
Frank Co,4 stars,3 years ago,Nice place
Ryan Ace Sala,5 stars,3 years ago,N/A
祁郁潔,5 stars,3 years ago,N/A
Mac Hernandez (Pinoyflyer),5 stars,3 years ago,Great Place for Instagram pictures. This place makes you feel a kid for a while.
jeehyeMusica,5 stars,3 years ago,N/A
Elaf -,2 stars,3 years ago,They make you take off your shoes!!
Alexander Tano,5 stars,3 years ago,N/A
Neil Sindo,5 stars,3 years ago,N/A
MARI-LEN CO,3 stars,3 years ago,"We have enjoyed the place. It was cute, but find it too small or narrow for taking a picture."
Saadah Abubacar,4 stars,4 years ago,N/A
tabby tabbyo,5 stars,4 years ago,N/A
Microblading by Rhea,4 stars,4 years ago,"You need stretching visiting this place. There was this guy there the only guy its like he doesnt care about his job, we were on his area and my friend called him and he was playing deaf or he is one,😂 his with his mobile playing online …"
mastura ali,5 stars,4 years ago,N/A
shahal bezalel,5 stars,4 years ago,Really nice experience and pictures
Rose R,4 stars,4 years ago,We enjoyed our visit here..Place is small but just probably a nice experience.  The crew who took t he pictures were cheerful and of course they know the best post for a good picture.   It would probably be better if it was bigger and more places.
ROJA DRONADRI,5 stars,4 years ago,N/A
余能信,4 stars,4 years ago,very cre …
Ruzzel Bernabe,5 stars,4 years ago,N/A
Wendell Monilar,5 stars,4 years ago,N/A
Kurt Dexter N. Rodriguez,5 stars,4 years ago,Best museum of all time.
maricar limbaga,4 stars,4 years ago,N/A
Siegfried Mendoza,4 stars,4 years ago,Nice place for taking pictures. Advisable for groups and family. Nothing much to do there though. 30 minutes tops of staying there and burn some money.
딸기님,5 stars,4 years ago,N/A
Jeffrey navarro,5 stars,4 years ago,N/A
james kim,4 stars,4 years ago,N/A
4-ACE's&J Channel,3 stars,4 years ago,"Good for to akong pictures only.
One time experience."
Keith Daniel Salado,5 stars,4 years ago,I should go there in upside down!!
Emil Măgureanu,5 stars,4 years ago,"It's a nice place where can relax, enjoy the unexpected decorations and forget for a while about the hot weather of cebu"
Abo Jod Alharbi,3 stars,4 years ago,Not bad
kym dinglasa,5 stars,4 years ago,I love this place
Jiezelle Ann Tan,5 stars,4 years ago,N/A
Nilo Gutang Jr,4 stars,4 years ago,Nice place to go
Eusebio Pason,5 stars,4 years ago,Good place to hangout
Honey Lyn Wenceslao,4 stars,4 years ago,N/A
LAILA SALMAN,5 stars,4 years ago,N/A
Rogean Gullem,4 stars,4 years ago,"The idea of an upside down place was really cool, we just didn't expect that there were no cameras in the place itself. Maybe as a suggestion, the management could consider cameras in each room and then the visitors can get printouts once they get out."
LOURDES DE MESA,5 stars,4 years ago,N/A
JD Y,5 stars,4 years ago,Wel …
Trevor White,5 stars,4 years ago,"Reasonable priced. A cool way to spend a couple of hours. The staff were very helpful and friendly, and provided very good service"
Eusebio “Euse” Pason,5 stars,4 years ago,Come here if you want to trick your brain that you are incredibly standing in the ceiling...
Yvon Kris Bobillo,5 stars,4 years ago,N/A
John Sebastian Ursal,1 star,4 years ago,N/A
Marc Lim,3 stars,4 years ago,N/A
Carlo Antonine Erames,5 stars,4 years ago,N/A
Liz Ahmad,5 stars,4 years ago,N/A
Pei-Chun Chiang,4 stars,4 years ago,N/A
DANZ MATEO,5 stars,4 years ago,N/A
Shiva Caballero,5 stars,4 years ago,N/A
Lot Quibranza,4 stars,4 years ago,A place where you can easily photograph your fantasies.
Theresa Ramos,5 stars,4 years ago,A really fun place.
Reynaldo Legaspi,5 stars,4 years ago,N/A
Jared Mark Lagahit,4 stars,4 years ago,The place is fun with friends and family.
Mathialagan V,5 stars,4 years ago,M EC place
Kimberly Chavez,4 stars,4 years ago,N/A
Norskla Hidalgo,4 stars,4 years ago,N/A
Juliete Gulde,5 stars,4 years ago,Great place and the staff are so accomodating.
Cmyk Trading,4 stars,4 years ago,N/A
tarun sethi,4 stars,4 years ago,Nice place and something new and exciting....
virgilio manga,3 stars,4 years ago,N/A
mary edelyne maga,4 stars,4 years ago,N/A
C P,4 stars,4 years ago,N/A
Caleb_ Artzs,4 stars,4 years ago,N/A
Keen Toys,4 stars,4 years ago,N/A
Martin Martinez,4 stars,4 years ago,N/A
Makie Maquera,5 stars,4 years ago,N/A
Ariel Vincent Combinido,4 stars,4 years ago,N/A
하니,5 stars,4 years ago,N/A
Earl Araneta,5 stars,4 years ago,N/A
Christopher Tan,5 stars,4 years ago,N/A
Mark James Melgar,4 stars,4 years ago,N/A
Irene Dadol,5 stars,4 years ago,N/A
CG PO3 Velasquez Gieramie odilo,4 stars,4 years ago,N/A
Ann Kho,5 stars,4 years ago,N/A
Kent christian Apas,3 stars,4 years ago,N/A
Maria Bonivie Regidor,5 stars,4 years ago,So cool and amazing
Wannabthat Girl,3 stars,4 years ago,"I enjoyed every minute I was in here. The entrance fee is at 250 pesos per head. The place is not big, it has only 10 theme rooms namely: living room, reading room, bedroom, toy room, market scene, kitchen, dining room, toilet and laundry …"
Karen Stroll,5 stars,4 years ago,Love it.
Aileen Lamorena,5 stars,4 years ago,"It's fun. The staff are experienced. They will take your photos the first time, then you will have time to roam around and take other fun shots after"
Alith Castillon,4 stars,4 years ago,N/A
Aira Latorre,5 stars,4 years ago,N/A
MrH,5 stars,4 years ago,Family-friendly attractio …
Theoden Alexander,5 stars,4 years ago,N/A
ISVV MASTERS,5 stars,4 years ago,Very very good place
Ana Dab,4 stars,4 years ago,Cool for instagrammable pictures. That's it! :-)
Mark Vincent Melgo,5 stars,4 years ago,N/A
Jeff Ghaemaghamy,5 stars,4 years ago,Very cool
Amira Pagayao,2 stars,4 years ago,N/A
Reyshel N. Sawitan,4 stars,4 years ago,N/A
Jemima Rainey,5 stars,4 years ago,N/A
Christian LyricsPh,5 stars,4 years ago,Nice
Tin,4 stars,4 years ago,Enjoyed taking photos as the staff was quite enthusiastic. I really had a good time!
Beater Plays,3 stars,4 years ago,N/A
Marc Jems Bato,5 stars,4 years ago,N/A
Zaldy Romorosa,5 stars,4 years ago,N/A
Ben Aguilar,4 stars,4 years ago,"Nice place for people who are into this kind of thing; I'm not really. A bit overpriced in my opinion, but I understand that you have to cover costs. A novelty to visit maybe once, and I would be spending maybe P50-100 less for than as it's priced currently."
Rhein Heart,5 stars,4 years ago,N/A
Lislei Ann Olasiman,5 stars,4 years ago,N/A
Rose G.,5 stars,4 years ago,N/A
Nick Nixter,5 stars,4 years ago,"High quality sets that make the photos believable, well done,  well worth the fee."
Clar Men,5 stars,4 years ago,Break ur Stress with ur bones 😂😂😂😂 …
RAY BILAGANTOL,1 star,4 years ago,N/A
Ma. Preciosa Andrea Baclao,5 stars,4 years ago,Super approachable and super fun!
Tom Alarde,5 stars,4 years ago,N/A
JAN-MICHAEL AHMOUR NAHOS (JMAN),5 stars,4 years ago,Alright..
Ivy Lopez,5 stars,4 years ago,Fun fun fun!
juvyllon ebcas,5 stars,4 years ago,N/A
Meyan Juanero,4 stars,4 years ago,The people are really nice. Instagram worthy!
Nhi hoang trong,4 stars,4 years ago,N/A
Primo Xanthous,4 stars,4 years ago,N/A
아데너로셀,4 stars,4 years ago,N/A
Kriss Wanderer,3 stars,4 years ago,N/A
Junvel Laluna,5 stars,4 years ago,N/A
Kristine Magnetico,5 stars,4 years ago,We enjoyed it! The staffs arr cool and will assist you well in taking your pictures.
Rick C137,4 stars,4 years ago,High Digital Camera is not provided. They could offer to costumer a high quality camera
Heaven Roselie,5 stars,4 years ago,The staff there is very aprochable and friendly they teach you how to pose for the picture and also take your pictures too... The place is really upside down 👍 …
Dil Raj Gurung,3 stars,4 years ago,N/A
Nicholas Hoad,5 stars,4 years ago,"Pretty cool idea, never seen anything like it before. Staff friendly and enthusiastic"
陳采華,5 stars,4 years ago,Good
Rey Norris Talo,4 stars,4 years ago,Good
Kevin Dahlsrud,5 stars,4 years ago,"Me, my family and friends had a really good time at this place, there's a guide that will bring you all through the different rooms
And help you to take pictures, tells you how to to stand/pose for best results. …"
Danette Fabello,4 stars,4 years ago,N/A
Tom,4 stars,4 years ago,Cool place!
Vinish Nair,3 stars,4 years ago,N/A
Pierre-Yves Lafonta,5 stars,4 years ago,So great time and remenbers !
Ayman Nabil,3 stars,4 years ago,Very good idea
Kelly McIvor,4 stars,4 years ago,Let the staff help you. You'll get great pics!
