review_user,review_rate,review_time,review_text
Karin Misa,4 stars,5 hours ago,N/A
Jerrie Mae Talite,5 stars,13 hours ago,N/A
Eduardo Patingo,5 stars,3 days ago,N/A
James Agreste,5 stars,a week ago,N/A
Amanda Castaño,5 stars,a week ago,N/A
Bŕillo Mae,4 stars,a week ago,N/A
JJoost,5 stars,a week ago,N/A
Ricardo Conui Cabras,5 stars,a week ago,N/A
Jui-Yu Chuang,4 stars,a week ago,"I hanged around in Mactan center and found this church, a peaceful space.

Actually it’s not very special but after a long term walk, it was really nice to have a place to take a break."
Nicolas Monroy,5 stars,2 weeks ago,N/A
Bernardus Kruijt,4 stars,2 weeks ago,N/A
i Want youSobadly,5 stars,2 weeks ago,N/A
Christer Oliver Barola,3 stars,2 weeks ago,Was hard to find a good parking spot.
Cherry Bless Dela Torre,5 stars,2 weeks ago,N/A
Arjim Estrera,5 stars,3 weeks ago,N/A
David M White,4 stars,3 weeks ago,N/A
Rey “Rjadane” Adz,5 stars,4 weeks ago,Spacious church and miraculous Mama Mary....
Rosalie Tumulak,5 stars,4 weeks ago,N/A
Y. Romero Edna,5 stars,a month ago,N/A
Mulata 37,5 stars,a month ago,N/A
vincent pamplona,5 stars,a month ago,N/A
jennifer Vicentillo,5 stars,a month ago,N/A
Raymart Aguilar,5 stars,a month ago,N/A
Annie Rubin (Mac),5 stars,a month ago,N/A
mYkiL's personal vlog,4 stars,a month ago,N/A
christine陳雪丽 Fernandez,5 stars,a month ago,N/A
brian magallanes,5 stars,a month ago,N/A
Teresita Bongo,5 stars,a month ago,N/A
TJ Yucada,5 stars,a month ago,N/A
Keith Denney,5 stars,a month ago,"Such a beautiful church it’s a must visit place on Mactan. So lovely and peaceful, well recommended."
Aira Mae Agbay,5 stars,a month ago,I really love the church
Rea Alivario,5 stars,a month ago,N/A
Johan Ek,4 stars,a month ago,Good
Flavia Loon,5 stars,a month ago,N/A
Rino James Gasatan,5 stars,a month ago,Calm place and motivational
arnie dal,5 stars,a month ago,N/A
Ma Clotilda Filosopo,5 stars,a month ago,N/A
mario macatol,5 stars,a month ago,N/A
Michael Dalut,5 stars,2 months ago,N/A
Angiela Bolanio,5 stars,2 months ago,❤️
Bea Gamale,5 stars,2 months ago,N/A
Roxanne Talledo,5 stars,2 months ago,N/A
Chris Emman Magallano,5 stars,2 months ago,N/A
Marecar Villadolid,5 stars,2 months ago,N/A
Joshua Flores,5 stars,2 months ago,N/A
Leonard Saguing,5 stars,2 months ago,N/A
Emman Inso,5 stars,2 months ago,N/A
Jacky Labz,5 stars,2 months ago,N/A
ZHAY'S LOADING STATION,5 stars,2 months ago,N/A
Dhanz Chanz,5 stars,2 months ago,N/A
Jamaica Shaen Laurente,5 stars,2 months ago,N/A
Atlas Vaflor,5 stars,2 months ago,Excellent
Christy Clitar,5 stars,2 months ago,N/A
Robert Ma. Datahan,5 stars,2 months ago,N/A
김종선,5 stars,2 months ago,N/A
Madz Villavicencio,4 stars,2 months ago,N/A
Ralph Ordiz,5 stars,2 months ago,N/A
jerson signar,5 stars,2 months ago,"The church is very spacious
Very comfortable to go to and you can pray peacefully"
Ronald Dungog,1 star,2 months ago,quite and good
Mona Liza Picache-Caliba,5 stars,2 months ago,N/A
jigger cris,5 stars,3 months ago,SACRED PLACE
Jackielyn Duran,4 stars,3 months ago,N/A
Jimson Tayupon,5 stars,3 months ago,N/A
Shara Jane Feliciano,5 stars,3 months ago,N/A
adonis nietes,5 stars,3 months ago,Great place
Valiny Culango,5 stars,3 months ago,N/A
virginia ople,5 stars,3 months ago,Prayers are answered here...just believed
noel oplado,5 stars,3 months ago,N/A
"Salaguste, Angel Aljeane U.",5 stars,3 months ago,N/A
Gil Ann Mae Barro,5 stars,3 months ago,N/A
Archiene Mea Sabanal,5 stars,3 months ago,A must visit church in Lapu-Lapu City
Ericson Ybañez,5 stars,3 months ago,"Holy place and nice to pray & Visit Viva Dear Virgin in Regla, Viva❤️💙💛💜💚"
Crischen Ando,5 stars,3 months ago,N/A
luisito tacumba,5 stars,3 months ago,Love it
Lyn Mae Grace G. Omlero,5 stars,3 months ago,Great place
Mario Avila,5 stars,3 months ago,Nice place for meditation.
Stephanie Joy Bacus,5 stars,4 months ago,N/A
Josephine Torrejos,5 stars,4 months ago,N/A
Junajen Nociete,5 stars,4 months ago,N/A
Cherrie Mae Ave,5 stars,4 months ago,N/A
Francis Dave Amador,5 stars,4 months ago,"Catholic church in Lapu-Lapu, Philippines"
aline estrada,5 stars,4 months ago,N/A
Jerome Udtohan,5 stars,4 months ago,N/A
LAPU-LAPU FLOWER SHOP,5 stars,4 months ago,N/A
rymon Cenon,4 stars,4 months ago,N/A
Medioline Solomon,5 stars,4 months ago,Birhin sa Regla is the Saint Patron of Lapulapu City .She is a Miraculous Mama Mary who protect the whole city of Lapulapu
Marichu Cruz,5 stars,4 months ago,N/A
Joybelle Demape,5 stars,4 months ago,N/A
Aleli Delloro,5 stars,4 months ago,I like the ambiance and solemnly.
Pelagio Roamar,5 stars,4 months ago,N/A
Chir Lech,5 stars,4 months ago,This is where I get my strength. This place is my place to feel at home with Mama Mary and Baby Jesus.
Korinne,5 stars,4 months ago,"the La Virgen dela Regla has been part of my childhood ( my family devotes prayer to her since I was a child ) only few owns images here, and visiting her shrine in Cebu where she originally appears feels surreal, I feel so blessed and …"
Jomel Gelaga,5 stars,5 months ago,N/A
Raymund Arceo,5 stars,5 months ago,N/A
Joramie Maglasang,5 stars,5 months ago,Visiting Virgin de la Regla was one of the family's ritual everytime we visited Cebu City.
TEA REX,5 stars,5 months ago,N/A
Niño Clark Permacio,5 stars,5 months ago,N/A
gema morata,5 stars,5 months ago,N/A
Meannlyn Daitol,5 stars,5 months ago,N/A
Rowena Faidilan,5 stars,5 months ago,N/A
Jonel Andales,5 stars,5 months ago,Picker
Carlos Armando Rodríguez,3 stars,6 months ago,"Religion has become a business, the costs for people to marry are exaggerated. That demotivates to obtain this marriage bond."
jayr lerion,5 stars,6 months ago,N/A
ernz ompz,5 stars,6 months ago,N/A
Alba Lucia Alvarez,5 stars,6 months ago,It is a beautiful sanctuary
Tura Arts,5 stars,6 months ago,🙏💯 …
yuu chan,4 stars,6 months ago,N/A
Dean Tumulak,5 stars,6 months ago,N/A
Rhea Po,5 stars,6 months ago,Visited today before the incoming Fiest of Birhen sa Regla. Mass was held when I arrived. I got to light a candle and give thanks for all the blessings I’ve received coming from above. There were only few people lighting a 🕯️because they …
Shira Mae Cabueñas,5 stars,6 months ago,Peaceful place
honcyne lycan,5 stars,6 months ago,N/A
Gabriel Llorca,5 stars,6 months ago,N/A
rommel tejeno,4 stars,6 months ago,Holy place
Richard Agorilla,5 stars,6 months ago,Al …
Heart Retiza,5 stars,6 months ago,N/A
Gemily Jurado,4 stars,7 months ago,N/A
Lendon Euraoba,5 stars,7 months ago,N/A
Raul Durens,5 stars,7 months ago,I'm a choir member here
abay Colina,5 stars,7 months ago,N/A
Apatan Jemarst,5 stars,7 months ago,N/A
Don Arsenal,5 stars,7 months ago,N/A
Marvin D. Ochea,5 stars,7 months ago,N/A
Willie Cruzada,5 stars,7 months ago,Solemn place
mi co,5 stars,7 months ago,Thank you for everything
Jackalz Espada,5 stars,7 months ago,N/A
Jerry Sauro,5 stars,7 months ago,N/A
jelly montanez,5 stars,7 months ago,N/A
Stephen Pacada,5 stars,8 months ago,N/A
Sofia Gerebese,5 stars,8 months ago,N/A
Andrew Cabasan,5 stars,8 months ago,N/A
Wendel Getigan,5 stars,8 months ago,Nice place to pray
CHARLIE WECRE INOT,5 stars,8 months ago,N/A
rosemarie teano,5 stars,8 months ago,N/A
Annalou Sevilleja,5 stars,8 months ago,Love this place as always ❤️❤️❤️
Lily Andrade,5 stars,8 months ago,N/A
Ronilo Bongo Jr.,5 stars,8 months ago,"This place reminds that we are belong to God's family through the spiritual adoption, by that way, as we call God as Our Father, and Jesus as our brother, we call Mary as our mother, who loves to call her children of different status, and background."
Jerah Mae ihada,5 stars,8 months ago,I love the way it looks and it has sign ups for me that will help me get back in time for my tour and get the best results in my life as well soon and hopefully i'll get the opportunity for the next generation in this church was awesome but it was the best thing I had to visit again in my life and I have to take it to my mind.
Philipp Cabiles,4 stars,8 months ago,N/A
ana manalili,5 stars,8 months ago,N/A
Renalyn Boholst,5 stars,8 months ago,N/A
lenny mae labuca,5 stars,8 months ago,N/A
erlina balvero,5 stars,9 months ago,N/A
anbushinta,5 stars,9 months ago,N/A
CARLOS BACALSO,5 stars,9 months ago,N/A
Jayson Mabanag,5 stars,9 months ago,N/A
Elmer LC,5 stars,9 months ago,Known Shrine of Virgen de la Regla.. A devotion to her.. Is a rewarding... A place where you will experience solitude of prayer... 🙏 …
Ruggero Alvarado,5 stars,9 months ago,N/A
Stephanie Rebaca,5 stars,9 months ago,N/A
Miguel C Cabrera Jr,5 stars,9 months ago,N/A
PloreX World,5 stars,9 months ago,"after church, your kids and if feeling nmo bata paka, you can play sa newly renovated opon plaza, its just beside the church"
Noel Obsequias,5 stars,9 months ago,N/A
Mary grace Vence,5 stars,9 months ago,N/A
Edna Doming,5 stars,9 months ago,The place is sacred..
Crstyy Kreme,5 stars,9 months ago,N/A
Rhea,5 stars,9 months ago,I super love this Church! The Virgen dela Regla is so Miraculous! I have been a devotee for a very long time. Every 21st of November is the Annual Fiesta of Virgen dela Regla! Viva! Virgen dela Regla!😘😘😘 …
MANNy barcenas,3 stars,9 months ago,N/A
Lylanie Marie Tradio Ebesa,5 stars,9 months ago,N/A
Juliet Valiente,5 stars,9 months ago,N/A
Maria Luz Cahayagan,5 stars,9 months ago,"Place is good, though noisy surroundings."
Samson Japus,5 stars,9 months ago,N/A
Lourence Tuico,5 stars,9 months ago,Neat and good
Ernest Dublin,4 stars,9 months ago,N/A
Ezhoyanz Nopacz,5 stars,9 months ago,N/A
Ryan Canoy,5 stars,10 months ago,N/A
charlisle smith,5 stars,10 months ago,N/A
Bebie THIEBAUT,5 stars,10 months ago,A beautiful National shrine
Anne Margaret Cejas,5 stars,10 months ago,Love to visit here most of the time..
Maritess Apura,5 stars,10 months ago,Adorable
Jazmeine Sandal,4 stars,10 months ago,N/A
Michael Caine Avila,5 stars,10 months ago,N/A
Adrian Duarte,5 stars,10 months ago,N/A
cyn THIA,5 stars,11 months ago,"VDR a very solemn place to visit and pray,  the rest room are tidy and all are in place"
Humphrey Opura,5 stars,11 months ago,N/A
SerJan,5 stars,11 months ago,N/A
Mary Elaine Baring,5 stars,11 months ago,N/A
Marie blaire Vender,5 stars,11 months ago,So very nice
Jill Travenner,5 stars,11 months ago,N/A
HDRJR Tamsie,5 stars,11 months ago,Virgen de la Regla is located at Lapu-lapu city proper..this virgen de la regla is a very sacred and miracoulos virgen..and come this coming November 3rd week for the  celebrate of Virgen de la regla Fiesta celebrations...
wilm zee,5 stars,11 months ago,N/A
Rosendo Ventures,5 stars,11 months ago,N/A
Venencio “Vence CarEs” Escabarte Jr.,5 stars,11 months ago,A shrine needs to be visited once you are in Lapu-Lapu City.
Jhanen Cabreros,5 stars,11 months ago,N/A
Gohan Lorejo,5 stars,11 months ago,N/A
claudio berdin,5 stars,11 months ago,Goods
ace salapang,5 stars,11 months ago,"The place is large, clean og indot mosimba."
Gold Saquian,5 stars,a year ago,"A very spacious and well ventilated church. The altar is magnificent, and the faithful are very devoted to the Lady."
Zezie Seroyla,1 star,a year ago,N/A
Johan Hernandez,4 stars,a year ago,N/A
Mehdarlyn Fermo,5 stars,a year ago,N/A
Colin Hazell,5 stars,a year ago,Super!!!!
Gwyn Balolong,5 stars,a year ago,N/A
Mark Joseph Oyao,5 stars,a year ago,N/A
Edward Compra,5 stars,a year ago,N/A
Ella Chio,5 stars,a year ago,N/A
Melvin Flores,5 stars,a year ago,"I always visit this church, when I visit Cebu ❤️"
Thea Katrine Ngujo,5 stars,a year ago,N/A
Marben Sedorio,5 stars,a year ago,N/A
Cheapepay Cheapepay,5 stars,a year ago,N/A
Jessa Eve Remedio Bayron,5 stars,a year ago,N/A
Ryan Cutamora,5 stars,a year ago,N/A
Jordan Odchigue,5 stars,a year ago,I come to this place when I cane to Cebu...
Leah Quilongquilong,5 stars,a year ago,One of the oldest Church in Lapu Lapu City and the most miraculous Birhen sa Regla. If your a devoted Catholic you know this place her in Cebu.
Em Santos,5 stars,a year ago,N/A
Wally T,5 stars,a year ago,"Very old but classic and very amazing good shape,historical one. Church in lapu lapu ,cebu.a perfect church for religious activities.blessed and proud to have visited to this church."
Rheena Dawn Orbeta,5 stars,a year ago,Most Visited sites for devotees.
XAIRA TIMKANG,5 stars,a year ago,N/A
Era Alfaro,5 stars,a year ago,Nice place for wedding.
Sef Kilantang,5 stars,a year ago,N/A
manie A.,5 stars,a year ago,N/A
Renante Piquero,5 stars,a year ago,N/A
Gretchen Jimenez,5 stars,a year ago,The shrine exudes beauty and peace beyond understanding. I am profoundly happy to visit the place again.
Stocks on High Alert,5 stars,a year ago,N/A
Joan Mark Ylanan,5 stars,a year ago,N/A
Arong Jerome,5 stars,a year ago,Peaceful
Eunafren Jimeno,5 stars,a year ago,THIS A MIRACLE PLACE WHEN DOING PRAYER FOR OUR OWN EXPERIENCE
jonas palatan,5 stars,a year ago,N/A
Anthony Aracan,5 stars,a year ago,solemn place
Glenda Plus Four,4 stars,a year ago,N/A
RapunzeL Bajo,5 stars,a year ago,"of all the Churches i visited and attended here in Cebu. I love to attend in Birhen sa Regla at Opon, Lapu Lapu City Cebu. You can see and feel the solemnity of the mass. Above all, Birhen sa Regla is a miraculous Mama Mary when you pray …"
Bisdak na Suroyan,4 stars,a year ago,A good place for praying
Andrew D.,5 stars,a year ago,N/A
Elsie Maniwang,5 stars,a year ago,A nice place if you want to really pray hard and sincerely.the piety of the people is moving to see.
Art Manliguez,5 stars,a year ago,N/A
22daisha,5 stars,a year ago,N/A
