review_user,review_rate,review_time,review_text
J. van Gaal,3 stars,4 days ago,My son and I were not too impressed with the beach. Yes there is sand and the water is nice but if you want to go for a bite or drink you need to make a full day reservation. …
Charlie Lethaby,4 stars,5 days ago,Lovely beach but lacking in bars etc
Towa,5 stars,a week ago,Beautiful white sand and clear sea are the best. There are stalls so you can relax while enjoying the red h …
Ma.Nitheresa Magdaline Pabuaya,5 stars,a week ago,Way entrance nice ang place white sand jud.
Pao Santos,4 stars,3 weeks ago,If you’re looking for a beach get away in cebu this is the place. You can also rent a motor bike to go here. Very affordable 😊 …
Hans Hans,1 star,4 weeks ago,"25 pesos “entrance fee” in the middle of the street. Then another 10 pesos per person and vehicle. The beach is not nice at all, there is rubbish everywhere. The water is very rocky. Don't go!"
MONIKA STEPHEN,1 star,a month ago,Not so white.  They sit in the booth collecting environment fee all day long and this is what the beach looks like.  I know the weather was a bit stormy but at least clean the beach when  the tide goes out for guests to enjoy.
Andrew Benson,1 star,a month ago,Cannot access this site via the road. Not a public access beach. Was turned around. Also the road is not in good condition; was very hard on our scooter bike.
Paul Fortier,5 stars,a month ago,"Had a great time swimming with the sea turtles and the sardines. Water is beautiful, beaches are great."
Liza Jane,1 star,a month ago,What a pity! The beach lost its beauty…trash everywhere…
Clair Palmer,1 star,a month ago,"Sadly, this probably was once a beautiful beach to visit, but we found it covered in trash (including glass, cigarette ends, plastic), with loads of stray dogs leaving dog mess on the beach and sellers bothering you every few minutes. …"
Jonathan Cheng,4 stars,a month ago,N/A
Anhelina Kozinska,3 stars,a month ago,"The beach is nice but very dirty, the whole country has problems with homeless sick dogs, so there are quite a lot of them on the beach.
Be sure to come for the sunset 🌅 …"
duke “yoshi” lenshow,4 stars,a month ago,N/A
Acaso Bermudez,5 stars,a month ago,Beautiful Sunset
Carmel Jean,5 stars,a month ago,Celebrated our 2nd anniversary with my boyfriend here and its indeed an amazing experience!
K M,2 stars,2 months ago,"Would have been a nice place BUT it's so sad to see glass bottles floating in the ocean, overpriced cottages, stray dogs and trash all over the place."
e JB,5 stars,2 months ago,Great beach for snorkeling. Many corals in very good condition a few meters from the beach
Mohit Chandak,5 stars,2 months ago,Beach has some really good spots to chill and sunsets are great here
j choice,4 stars,2 months ago,N/A
Roy Harness,5 stars,2 months ago,N/A
Joel Witwer,2 stars,2 months ago,Small beach and lots of rubbish everywhere. Could've been nice but isn't taken care of.
Mukul Vishwakarma,5 stars,2 months ago,I love this beach I found my love here 🤞 …
Karl Acosta,1 star,2 months ago,SCAMMERS WHEN GOING TO THE BEACH ASKING TO PAY FOR ENVIRONMENTAL FEE WHEN THERES LITTER ALL OVER THE BEACH. Lots of jellyfish too ouchie
bree marsh,1 star,2 months ago,Rented a moped and tried to go out to this beach was stopped at the entrance about 2mins away from the beach and harassed by locals demanding we pay an entrance fee. Honestly disgusted at how they spoke to us we just turned around and left. …
Wicked Sheila,2 stars,2 months ago,It's not as beatiful as it appears on the pics. There's waste on the beach like plastic rubbish. Locals don't seem to care that much to take better care of the environment. …
gus indra,5 stars,2 months ago,Lovely day here
Searching searching,5 stars,3 months ago,"Went back home to visit the white beach in moalboal cebu, the place is amazing, Stayed in Airbnb next to the beach, the service also is phenomenal"
