review_user,review_rate,review_time,review_text
Giacomo Chiocchetti,3 stars,a day ago,Uncurated exhibition in a rather badly preserved period Spanish house. It can be visited if you pass through the area but I don't consider it an essen …
Jose Carcabuso,5 stars,2 days ago,There are so many artifacts in this museum. Make sure to listen to its history and check out all the items. There's also someone playing music in the garden.
Sanil Kumar Parammal,5 stars,4 days ago,N/A
Migh1988,5 stars,5 days ago,N/A
Mercedita Alberca,4 stars,a week ago,Good to see ancestral house
David Bates,5 stars,a week ago,N/A
Art Tanggapan,3 stars,a week ago,Herritage house during Spanish era. Things to remember during those days living in the Philippines.
Addy Light,5 stars,a week ago,"100 pesos entry but worth it for us. We came at 6pm, one hour before it closed and there were only very little tourists"
Niel Genz,4 stars,2 weeks ago,N/A
Dana Morgan,2 stars,2 weeks ago,Not very interesting. Dud not feel safe entering the facility.
ᴀ “ᴍᴜꜱʜʀᴏᴏᴍ”,5 stars,2 weeks ago,Love the history of this house. Not everyday that you’d get to step on a 4 centuries old house.
Cristin Julian,5 stars,2 weeks ago,N/A
Lauro Gamboa,5 stars,2 weeks ago,N/A
shyhder liao,5 stars,3 weeks ago,"In the early days, the Chinese in the coastal provinces of Fujian and Guangdong found it difficult to survive due to the bar …"
My Taste of Life / Lynne's Kitchen Food Vlog,5 stars,3 weeks ago,N/A
Arjim Estrera,5 stars,3 weeks ago,N/A
安德森,5 stars,3 weeks ago,N/A
helga maritoni delos santos,5 stars,4 weeks ago,"Ancestral house owned by Yap-San Diego... now owned & maintained by their 10th generation... most things, but not all  dates back from 16th century... old but we'll maintained... tne now generation spend & sleeps there during weekdays (Friday night - Sunday afternoon)"
Annie Tayoba,5 stars,a month ago,N/A
duke “yoshi” lenshow,4 stars,a month ago,N/A
なみへい,3 stars,a month ago,N/A
Hanna Razhelle Cabarco,3 stars,a month ago,N/A
Fransiska Stgg,5 stars,a month ago,Old is a good one. …
Reymond Reyes,5 stars,a month ago,N/A
Michał Jadczyszyn,5 stars,a month ago,Amazing and absolutely unique place. Totally different than Casa Gordo. Close to each other but both worth to visit. They are two different worlds.
Bienvenido Mendoza,5 stars,a month ago,Historical place
Ramon B Jr Mira,3 stars,a month ago,N/A
John Aaron Cancio,5 stars,a month ago,N/A
Lean Luengo (Karrotz Images),5 stars,a month ago,Love how old this House is and still standing strong. Our tour guide said that all the materials there are 85% Original. I would highly recommend this place ❤️❤️❤️
helen santiago,4 stars,a month ago,N/A
jonnah subrio,5 stars,a month ago,N/A
Meriza Ramos,5 stars,a month ago,N/A
Maria,5 stars,a month ago,N/A
ronnel cortes,1 star,a month ago,N/A
Allan Alcantara,5 stars,a month ago,N/A
angelito enigmax,5 stars,a month ago,N/A
Lovelove Kolot,4 stars,a month ago,N/A
Jun Lucena,5 stars,a month ago,N/A
Mariska V,4 stars,a month ago,"Very interesting. Constructed in 1675 by Chinese merchants, this historic residential home is believed to be one of the oldest standing residential structures in the country, according to local beliefs."
Константин Еткевичус,5 stars,a month ago,N/A
Mark,5 stars,a month ago,N/A
Marie Angelique,4 stars,a month ago,There's a tour guide that will te you about the historical relevance of the place. Oposite this is a good shop to buy your souvenirs.
Des Manlapaz,4 stars,a month ago,N/A
John Carlo Ruiles,5 stars,a month ago,N/A
趙敏翔,4 stars,a month ago,There are many people selling necklaces a …
KaChubby,5 stars,a month ago,N/A
